,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,location,default_profile,default_profile_image,profile_banner_url,profile_image_url_https,verified,age,in_following_followers,n_number_sname,size_sname,size_description,size_name,in_number_sname,Alvo,n_retweet_mean,n_favorite_mean,n_hashtags_mean,n_urls_mean,n_mentions_mean,media_size_twitter,dp_size_twitter,in_tweets_reply,n_tweet_dia,max_count_tweet_dia,count_dias_tweet,in_tweet_dia
658,mil,37,54,73,0,0,0,1,0,0,1,0,> 2 years,1.4594594594594594,2,13,22,9,0.15384615384615385,0,1.385,0.22,0.08,0.03,0.99,52.81,25.131999999999998,156,3,7,121,1.6528925619834711
659,> mil,380,365,3985,3,1,1,0,0,1,1,0,> 2 years,0.9605263157894737,0,9,28,15,0.0,0,642.02,0.585,0.03,0.02,0.465,49.035,22.2927,73,3,5,119,1.680672268907563
660,> mil,197,206,1056,1,0,1,1,0,1,1,0,> 2 years,1.0456852791878173,0,10,17,13,0.0,0,22.195,0.38,0.065,0.02,0.57,44.505,19.890949999999997,78,2,4,148,1.3513513513513513
661,mil,248,855,104,0,1,0,0,0,1,1,0,2 years,3.4475806451612905,0,10,107,19,0.0,0,7.02,0.145,0.71,0.75,0.485,75.345,22.86605,19,1,8,94,2.127659574468085
662,> mil,267,459,306,8,0,1,0,0,0,1,0,> 2 years,1.7191011235955056,0,6,24,5,0.0,0,101.955,0.255,0.145,0.805,2.52,83.18,23.8754,23,2,5,149,1.342281879194631
663,> mil,165,260,111,0,1,1,0,0,1,1,0,> 2 years,1.5757575757575757,0,11,86,13,0.0,0,125.9,0.02,0.945,0.18,0.39,85.905,31.925950000000004,36,3,4,149,1.342281879194631
664,> mil,1416,401,12200,8,0,1,1,0,1,1,0,> 2 years,0.2831920903954802,0,10,6,6,0.0,0,3.045,0.78,0.275,0.005,0.99,71.475,33.72625,136,6,18,41,4.878048780487805
665,> mil,4941,420,39704,34,1,1,0,0,1,1,0,2 years,0.08500303582270795,0,11,44,12,0.0,0,251.72,0.91,0.04,0.095,1.07,46.235,25.745500000000003,121,22,34,11,18.181818181818183
666,> mil,171,169,4165,0,1,0,0,0,1,1,0,> 2 years,0.9883040935672515,0,9,30,13,0.0,0,308.46,0.25,0.015,0.05,0.455,43.715,21.02795,15,1,4,146,1.36986301369863
667,quinhentos,31,119,270,0,0,0,1,0,1,1,0,2 years,3.838709677419355,0,15,0,16,0.0,0,57.56,0.095,0.015,0.005,0.42,37.38,22.297399999999996,59,2,10,109,1.834862385321101
668,> mil,243,393,324,2,0,0,0,0,1,1,0,> 2 years,1.617283950617284,0,13,74,18,0.0,0,11.465,0.045,0.155,0.84,0.275,64.08,38.3888,6,1,7,132,1.5151515151515151
669,> mil,513,968,1312,0,1,1,0,0,1,1,0,> 2 years,1.8869395711500974,0,10,0,11,0.0,0,1165.79,0.13,0.025,0.07,0.685,53.845,24.7971,21,15,15,91,2.197802197802198
670,> mil,780,470,381,21,0,1,1,0,0,1,0,> 2 years,0.6025641025641025,0,11,103,14,0.0,0,18.47,0.085,0.06,0.055,0.73,58.825,32.39125,88,3,16,51,3.9215686274509802
671,> mil,608,262,2784,1,0,1,0,0,1,1,0,2 years,0.4309210526315789,0,8,6,3,0.0,0,209.085,0.385,0.05,0.16,1.205,52.53,25.2813,108,4,15,56,3.5714285714285716
672,> mil,664,419,8100,0,0,0,0,0,1,1,0,> 2 years,0.6310240963855421,1,10,54,9,0.1,0,2353.175,0.45,0.02,0.185,0.78,60.16,26.292799999999996,36,6,9,87,2.2988505747126435
673,> mil,204,1339,6686,7,0,1,0,0,0,1,0,> 2 years,6.563725490196078,0,10,33,6,0.0,0,3.68,0.135,0.055,0.35,0.44,64.055,31.4549,34,2,5,149,1.342281879194631
674,> mil,1738,1837,8825,5,0,0,1,0,1,1,0,2 years,1.0569620253164558,0,11,0,7,0.0,0,463.98,0.555,0.015,0.05,0.525,49.635,27.219299999999997,64,6,10,90,2.2222222222222223
675,> mil,531,263,3677,1,1,1,0,0,1,1,0,> 2 years,0.4952919020715631,0,15,0,5,0.0,0,2673.12,1.04,0.03,0.02,0.485,51.09,24.3444,43,2,5,135,1.4814814814814814
676,> mil,813,837,207,21,1,1,0,0,1,1,0,> 2 years,1.029520295202952,0,9,125,9,0.0,0,166.72,0.09,0.335,0.37,0.98,102.865,26.4012,48,1,4,175,1.1428571428571428
677,> mil,243,832,117,10,1,1,0,0,1,1,0,> 2 years,3.4238683127572016,1,9,130,20,0.1111111111111111,0,105.555,0.03,0.54,0.805,1.26,121.65,19.4975,3,2,6,140,1.4285714285714286
678,> mil,1232,1040,672,20,1,1,0,0,1,1,0,> 2 years,0.8441558441558441,3,9,158,1,0.3333333333333333,0,160.73,0.14,0.805,0.1,0.235,102.385,25.5288,11,3,7,125,1.6
679,> mil,1616,1196,23832,27,1,0,0,0,1,1,0,> 2 years,0.7400990099009901,0,14,38,9,0.0,0,93.31,1.415,0.07,0.07,1.02,55.78,28.052599999999998,112,4,9,63,3.1746031746031744
680,> mil,816,643,4002,3,0,0,1,0,1,1,0,> 2 years,0.7879901960784313,0,11,99,5,0.0,0,541.15,1.425,0.01,0.01,0.615,46.08,19.6816,34,2,5,126,1.5873015873015872
681,> mil,530,586,4580,32,0,1,0,0,1,1,0,2 years,1.1056603773584905,0,11,24,19,0.0,0,16.695,0.3,0.385,0.14,0.935,123.39,16.6869,43,1,9,109,1.834862385321101
682,> mil,1592,359,8577,15,0,1,0,0,1,1,0,2 years,0.22550251256281406,0,11,77,8,0.0,0,7531.18,0.065,0.465,0.065,1.075,67.37,32.2707,28,27,27,27,7.407407407407407
683,> mil,658,82,6305,5,0,0,0,0,0,1,0,> 2 years,0.12462006079027356,0,7,14,7,0.0,0,476.89,0.15,0.21,0.08,0.65,57.335,33.0819,46,15,17,23,8.695652173913043
684,> mil,107,210,2204,5,1,1,0,0,1,1,0,> 2 years,1.9626168224299065,0,9,113,4,0.0,0,86.34,0.28,0.145,0.085,1.475,77.075,30.006999999999998,160,1,11,79,2.5316455696202533
685,> mil,679,319,2169,3,0,1,0,0,1,1,0,> 2 years,0.4698085419734904,0,10,75,4,0.0,0,811.15,0.27,0.03,0.1,0.795,68.38,30.263599999999997,85,2,7,112,1.7857142857142858
686,> mil,481,470,11023,1,0,0,0,0,1,1,0,> 2 years,0.9771309771309772,0,11,18,9,0.0,0,1192.055,1.49,0.12,0.095,0.915,62.355,32.32245,61,1,6,121,1.6528925619834711
687,> mil,2044,1740,2447,56,1,1,0,0,1,1,0,> 2 years,0.8512720156555773,0,5,122,14,0.0,0,49.69,0.135,0.285,0.4,0.735,80.285,30.940649999999994,42,2,8,124,1.6129032258064515
688,> mil,61,138,309,1,0,1,0,0,1,1,0,> 2 years,2.262295081967213,2,12,86,5,0.16666666666666666,0,79.275,0.01,0.395,0.005,0.435,53.55,32.9955,44,1,4,162,1.2345679012345678
689,> mil,392,283,1963,17,1,1,0,0,1,1,0,2 years,0.7219387755102041,0,14,160,19,0.0,0,86.75,0.655,1.04,0.03,0.585,107.07,26.9967,98,1,8,112,1.7857142857142858
690,> mil,468,155,1070,5,0,1,0,0,1,1,0,> 2 years,0.3311965811965812,0,13,33,2,0.0,0,144.56,0.185,0.14,0.095,0.45,54.355,28.147299999999994,40,4,7,136,1.4705882352941178
691,> mil,393,985,4128,34,0,0,0,0,1,1,0,> 2 years,2.5063613231552164,0,13,155,13,0.0,0,241.705,0.105,0.685,0.19,1.06,95.985,36.646499999999996,45,1,6,109,1.834862385321101
692,quinhentos,187,288,1,7,1,1,1,1,0,1,0,2 years,1.5401069518716577,1,13,160,12,0.07692307692307693,0,10.2,0.13,0.26,0.07,0.505,93.71,34.4242,92,5,38,67,2.985074626865672
693,> mil,54,48,1993,2,0,1,1,0,0,1,0,2 years,0.8888888888888888,0,9,31,20,0.0,0,0.015,0.495,0.005,0.065,0.495,57.545,27.53495,85,3,9,74,2.7027027027027026
694,> mil,771,301,12040,3,1,1,0,0,1,1,0,> 2 years,0.39040207522697795,0,14,115,12,0.0,0,48.17,0.3,0.035,0.045,0.585,57.13,29.7782,48,6,9,76,2.6315789473684212
695,> mil,1276,337,2852,53,1,1,0,0,1,1,0,> 2 years,0.26410658307210033,0,13,151,14,0.0,0,13.105,0.59,0.455,0.485,0.8,103.145,33.303250000000006,60,2,9,128,1.5625
696,> mil,1884,2069,8391,28,0,1,0,0,1,1,0,> 2 years,1.0981953290870488,4,8,135,11,0.5,0,134.48,0.385,0.285,0.26,0.715,86.79,35.2921,68,1,3,168,1.1904761904761905
697,> mil,621,437,10165,0,0,0,1,0,1,1,0,2 years,0.7037037037037037,3,15,58,9,0.2,0,377.82,1.315,0.04,0.045,0.585,62.52,26.712,41,2,5,127,1.5748031496062993
698,> mil,13095,7672,3568,664,1,1,0,0,1,1,0,> 2 years,0.5858724704085528,0,13,146,12,0.0,0,0.2,0.145,0.245,0.885,0.23,93.41,19.733600000000003,24,2,5,162,1.2345679012345678
699,> mil,640,533,1498,1,0,1,0,0,1,1,0,> 2 years,0.8328125,1,8,5,14,0.125,0,75.07,0.13,0.12,0.01,0.28,49.65,22.973999999999997,27,4,9,113,1.7699115044247788
700,> mil,82,249,2683,2,0,1,0,0,1,1,0,> 2 years,3.0365853658536586,1,7,119,7,0.14285714285714285,0,400.95,0.14,0.025,0.075,0.325,73.485,32.833800000000004,21,1,5,124,1.6129032258064515
701,> mil,852,1754,266,16,1,1,0,0,1,1,0,> 2 years,2.0586854460093895,0,7,97,7,0.0,0,6.085,0.31,0.32,0.215,0.495,68.415,32.251400000000004,61,1,3,177,1.1299435028248588
702,> mil,7184,1649,696,314,1,1,0,0,0,1,0,> 2 years,0.22953786191536749,0,10,117,10,0.0,0,0.51,0.185,0.185,0.17,1.035,78.505,31.06015,123,1,7,151,1.3245033112582782
703,> mil,1097,632,717,87,1,1,0,0,1,1,0,> 2 years,0.5761166818596172,0,10,153,13,0.0,0,70.405,0.045,0.04,0.045,0.89,64.765,39.063849999999995,53,4,14,37,5.405405405405405
704,> mil,189,619,1432,2,0,1,0,0,1,1,0,> 2 years,3.2751322751322753,0,13,5,12,0.0,0,181.01,0.24,0.52,0.13,1.295,108.41,30.9985,50,3,5,129,1.550387596899225
705,> mil,162,258,785,3,1,1,0,0,1,1,0,> 2 years,1.5925925925925926,0,11,23,5,0.0,0,259.85,0.545,0.03,0.095,0.795,63.99,30.138100000000005,83,5,9,88,2.272727272727273
706,quinhentos,192,156,3525,4,1,1,0,0,1,1,0,> 2 years,0.8125,0,10,56,12,0.0,0,56.86,0.255,0.205,0.15,0.905,93.4,35.66,120,4,15,50,4.0
707,trezentos,234,137,544,2,0,1,1,0,1,1,0,> 2 years,0.5854700854700855,0,10,64,15,0.0,0,1154.3,0.66,0.325,0.06,1.085,73.915,36.0516,61,1,9,89,2.247191011235955
708,> mil,2077,197,920,13,1,1,1,0,1,1,0,> 2 years,0.09484833895040924,0,11,158,5,0.0,0,9.875,0.18,0.275,0.22,0.705,69.905,30.0412,99,2,5,142,1.408450704225352
709,mil,120,137,25,2,1,1,0,0,1,1,0,> 2 years,1.1416666666666666,0,12,160,12,0.0,0,36.235,0.04,0.11,0.505,0.135,92.035,37.552550000000004,7,17,17,153,1.3071895424836601
710,> mil,286,161,12603,0,0,0,1,0,1,1,0,2 years,0.5629370629370629,0,12,47,6,0.0,0,292.145,1.4,0.02,0.015,0.69,57.8,27.008000000000003,101,2,5,99,2.0202020202020203
711,mil,430,1,64,13,1,1,0,0,0,1,0,> 2 years,0.002325581395348837,0,10,28,10,0.0,0,1560.59,0.21,0.75,0.275,0.75,84.72,32.148399999999995,49,1,9,125,1.6
712,> mil,1227,871,7213,40,1,1,0,0,1,1,0,> 2 years,0.7098614506927465,0,9,62,13,0.0,0,49.22,0.575,0.11,0.225,0.515,90.12,29.4752,64,4,8,147,1.3605442176870748
713,> mil,1108,998,713,43,1,1,0,0,1,1,0,> 2 years,0.9007220216606499,0,14,129,15,0.0,0,32.39,0.25,0.37,0.29,1.085,93.115,32.14925,71,1,11,143,1.3986013986013985
714,mil,20,239,125,1,0,1,1,0,1,1,0,> 2 years,11.95,0,12,81,5,0.0,0,133.76,0.095,0.345,0.155,1.245,102.905,31.5783,129,2,4,164,1.2195121951219512
715,> mil,1226,597,149,43,1,1,0,0,1,1,0,> 2 years,0.48694942903752036,0,10,107,10,0.0,0,65.38,0.06,0.59,0.205,0.6,80.605,33.768699999999995,65,10,11,98,2.0408163265306123
716,> mil,597,1202,4419,1,0,1,1,0,1,1,0,> 2 years,2.013400335008375,4,13,78,3,0.3076923076923077,0,45.645,0.3,0.09,0.045,0.68,61.93,29.0809,83,4,14,96,2.0833333333333335
717,> mil,768,1557,4151,7,0,1,0,0,1,1,0,> 2 years,2.02734375,0,13,4,15,0.0,0,185.275,0.145,0.045,0.02,1.195,57.125,26.1225,126,2,27,27,7.407407407407407
718,> mil,879,640,17871,33,0,1,0,0,1,1,0,> 2 years,0.7281001137656428,2,7,122,9,0.2857142857142857,0,4.69,0.625,0.115,0.085,1.05,80.075,36.18725,136,7,12,41,4.878048780487805
719,> mil,1045,1588,1203,45,1,1,0,0,1,1,0,> 2 years,1.5196172248803828,0,10,63,10,0.0,0,38.755,0.26,0.275,0.36,1.335,107.615,27.37965,55,4,26,70,2.857142857142857
720,> mil,295,427,114,22,1,1,0,0,1,1,0,> 2 years,1.4474576271186441,0,11,142,12,0.0,0,35.62,0.01,0.155,0.91,0.33,71.615,32.21955,8,10,12,67,2.985074626865672
721,mil,155,868,1512,0,0,1,1,0,1,1,0,2 years,5.6,8,15,160,13,0.5333333333333333,0,20.935,0.5,0.705,0.02,1.495,84.725,33.66225,141,8,13,104,1.9230769230769231
722,> mil,337,355,2421,0,1,0,0,0,1,1,0,> 2 years,1.053412462908012,0,14,5,10,0.0,0,2431.42,0.2,0.07,0.295,0.69,65.23,23.957600000000003,24,2,6,135,1.4814814814814814
723,> mil,4476,4845,8786,68,0,0,1,0,1,1,0,> 2 years,1.0824396782841823,1,14,154,14,0.07142857142857142,0,179.035,0.4,0.515,0.085,2.59,106.495,29.41105,61,4,10,82,2.4390243902439024
724,> mil,1753,789,4363,8,0,1,0,0,1,1,0,> 2 years,0.45008556759840274,0,11,144,6,0.0,0,25.46,0.77,0.94,0.025,0.98,101.355,33.45595,36,11,29,32,6.25
725,> mil,200,78,784,0,0,1,0,0,1,1,0,> 2 years,0.39,0,14,35,6,0.0,0,148.05,0.11,0.23,0.28,0.84,79.39,40.217800000000004,89,5,16,115,1.7391304347826086
726,> mil,448,350,38,32,0,1,0,0,1,1,0,> 2 years,0.78125,0,7,0,5,0.0,0,51.43,0.54,0.06,0.115,0.665,60.735,30.339350000000003,70,3,9,79,2.5316455696202533
727,> mil,2295,592,1193,31,1,1,0,0,1,1,0,> 2 years,0.2579520697167756,0,6,130,13,0.0,0,26.535,0.395,0.585,0.165,0.4,72.06,34.096599999999995,29,4,7,131,1.5267175572519085
728,> mil,670,628,7325,12,1,0,0,0,1,1,0,> 2 years,0.9373134328358209,0,11,150,20,0.0,0,54.945,0.305,0.11,0.02,0.37,53.15,29.382999999999996,36,10,10,89,2.247191011235955
729,> mil,253,359,209,3,1,0,0,0,1,1,0,> 2 years,1.4189723320158103,0,11,36,19,0.0,0,63.985,0.06,0.14,0.355,0.285,62.445,25.84395,31,1,5,156,1.2820512820512822
730,> mil,777,296,82,4,1,1,0,0,1,1,0,> 2 years,0.38095238095238093,0,12,94,10,0.0,0,5459.27,0.075,0.455,0.17,0.785,77.98,36.78,78,23,26,82,2.4390243902439024
731,> mil,184,166,869,0,0,1,1,0,1,1,0,> 2 years,0.9021739130434783,0,14,49,5,0.0,0,243.05,0.28,0.07,0.035,0.395,43.59,21.5347,38,2,4,133,1.5037593984962405
732,> mil,1930,1259,18314,33,0,1,1,0,1,1,0,> 2 years,0.6523316062176165,0,14,160,19,0.0,0,385.29,0.935,0.1,0.08,1.14,72.065,33.1702,137,7,11,39,5.128205128205129
733,> mil,217,2001,2734,9,0,1,1,0,1,1,0,2 years,9.221198156682028,0,13,39,4,0.0,0,255.855,0.03,0.825,0.06,0.895,95.92,32.27719999999999,58,10,19,100,2.0
734,> mil,376,327,6065,20,0,1,1,0,0,1,0,> 2 years,0.8696808510638298,0,12,67,11,0.0,0,73.5,0.28,0.05,0.03,0.88,78.965,32.762550000000005,90,3,10,71,2.816901408450704
735,> mil,1229,284,2251,6,1,1,0,0,1,1,0,> 2 years,0.23108218063466232,0,13,25,11,0.0,0,83.5,0.24,0.16,0.095,0.665,67.18,31.5134,55,6,14,55,3.6363636363636362
736,> mil,158,152,744,3,1,1,0,0,1,1,0,> 2 years,0.9620253164556962,0,11,92,10,0.0,0,373.87,0.15,0.27,0.215,0.78,57.605,29.1723,63,3,3,165,1.2121212121212122
737,quinhentos,149,228,2149,0,0,1,1,0,1,1,0,2 years,1.5302013422818792,0,13,59,13,0.0,0,2482.38,2.98,0.165,0.02,0.35,71.605,27.317850000000004,26,1,3,161,1.2422360248447204
738,> mil,408,336,2213,6,0,1,0,0,1,1,0,> 2 years,0.8235294117647058,0,15,114,11,0.0,0,77.46,0.67,0.035,0.03,0.83,52.175,24.47825,104,1,5,121,1.6528925619834711
739,> mil,705,580,2561,3,0,1,0,0,1,1,0,> 2 years,0.8226950354609929,2,9,99,8,0.2222222222222222,0,1312.925,1.69,0.2,0.07,0.355,58.46,27.8206,23,1,5,145,1.3793103448275863
740,> mil,392,302,858,0,0,0,1,0,1,1,0,2 years,0.7704081632653061,0,11,31,14,0.0,0,1673.43,0.115,0.1,0.03,0.605,61.255,28.7909,2,1,9,106,1.8867924528301887
741,> mil,2135,1799,2361,70,1,1,0,0,0,1,0,> 2 years,0.8426229508196721,0,5,4,5,0.0,0,294.215,0.025,0.225,0.695,1.07,102.16,30.018,15,12,12,73,2.73972602739726
742,> mil,243,623,2239,1,0,0,0,0,1,1,0,2 years,2.5637860082304527,2,7,17,17,0.2857142857142857,0,1037.235,0.23,0.25,0.06,0.81,79.59,32.8067,26,2,5,139,1.4388489208633093
743,> mil,192,323,578,2,0,0,0,0,0,1,0,> 2 years,1.6822916666666667,0,11,37,10,0.0,0,7.57,0.11,0.155,0.35,1.57,91.28,27.1756,117,6,6,155,1.2903225806451613
744,> mil,658,941,0,3,0,1,0,0,0,1,0,> 2 years,1.4300911854103344,0,15,156,8,0.0,0,0.0,0.0,0.0,0.0,0.12,55.825,27.49225,1,5,6,89,2.247191011235955
745,> mil,545,623,2463,1,0,1,0,0,1,1,0,> 2 years,1.1431192660550458,2,14,41,13,0.14285714285714285,0,67.72,0.84,0.135,0.015,1.0,67.115,25.4388,125,3,4,140,1.4285714285714286
746,> mil,1652,1487,13059,76,1,1,0,0,1,1,0,> 2 years,0.9001210653753027,0,9,159,14,0.0,0,0.675,2.285,0.08,0.065,0.785,82.785,33.535,97,4,7,92,2.1739130434782608
747,> mil,563,590,1885,25,1,1,0,0,1,1,0,> 2 years,1.0479573712255772,0,8,159,18,0.0,0,21.64,0.24,0.445,0.125,0.915,77.305,35.59635,96,8,8,117,1.7094017094017093
748,> mil,1226,1183,2111,48,1,1,0,0,1,1,0,> 2 years,0.9649265905383361,0,9,160,14,0.0,0,12.815,0.895,0.445,0.165,1.725,90.37,32.9837,105,1,9,110,1.8181818181818181
749,> mil,54,156,617,2,1,1,1,0,1,1,0,> 2 years,2.888888888888889,0,14,36,15,0.0,0,100.245,0.13,0.185,0.39,0.665,75.535,33.46175,33,1,7,140,1.4285714285714286
750,mil,13,12,47,0,0,0,1,0,1,1,0,> 2 years,0.9230769230769231,0,12,0,6,0.0,0,4.02,0.065,0.03,0.01,0.85,52.025,22.457250000000002,135,4,5,134,1.492537313432836
751,> mil,6473,588,43,26,0,0,0,0,1,1,0,> 2 years,0.09083886914877182,0,14,0,1,0.0,0,3492.995,0.03,0.025,0.015,0.37,46.17,25.9674,9,11,13,81,2.4691358024691357
752,> mil,132,221,1466,0,0,1,0,0,1,1,0,> 2 years,1.6742424242424243,2,9,94,11,0.2222222222222222,0,1413.17,0.165,0.275,0.055,1.26,85.41,32.4387,92,15,15,144,1.3888888888888888
753,> mil,769,469,1188,1,0,0,1,0,1,1,0,2 years,0.6098829648894668,0,7,0,2,0.0,0,453.285,0.565,0.02,0.05,0.925,47.68,22.0128,41,4,7,130,1.5384615384615385
754,> mil,1986,1064,10351,5,1,1,0,0,1,1,0,> 2 years,0.5357502517623364,0,11,46,10,0.0,0,35.62,0.5,0.065,0.135,0.785,52.625,28.06375,62,9,20,49,4.081632653061225
755,> mil,1060,557,2500,2,1,1,0,0,1,1,0,> 2 years,0.5254716981132076,0,15,104,15,0.0,0,94.02,0.3,0.07,0.01,0.47,42.94,18.6822,46,1,6,123,1.6260162601626016
756,> mil,352,994,1929,2,0,1,1,0,1,1,0,2 years,2.8238636363636362,0,14,101,8,0.0,0,119.38,0.015,0.41,0.67,1.25,119.795,20.4842,11,1,5,150,1.3333333333333333
757,> mil,2554,2308,857,112,1,1,0,0,1,1,0,> 2 years,0.9036805011746281,3,10,153,10,0.3,0,18.595,0.13,0.06,0.185,1.395,103.085,25.5348,125,25,28,26,7.6923076923076925
758,> mil,264,120,4234,0,1,1,0,0,1,1,0,2 years,0.45454545454545453,0,12,8,5,0.0,0,1253.165,0.32,0.08,0.07,0.76,57.375,26.92625,36,1,4,135,1.4814814814814814
759,> mil,350,210,2008,3,1,1,0,0,1,1,0,2 years,0.6,0,14,156,20,0.0,0,241.175,0.215,0.65,0.21,1.56,89.28,35.5432,22,6,17,41,4.878048780487805
760,> mil,128,60,118,0,1,1,0,0,1,1,0,> 2 years,0.46875,2,11,32,3,0.18181818181818182,0,672.845,0.025,0.125,0.005,0.405,46.76,29.092399999999998,18,1,3,166,1.2048192771084338
761,> mil,92,94,187,2,0,1,0,0,0,1,0,> 2 years,1.0217391304347827,1,14,64,13,0.07142857142857142,0,371.77,0.05,0.4,0.03,0.65,64.215,32.28435,31,5,5,134,1.492537313432836
762,> mil,482,316,16050,0,0,0,1,0,1,1,0,2 years,0.6556016597510373,0,10,18,5,0.0,0,701.395,0.66,0.025,0.035,0.735,51.895,22.7245,16,2,5,135,1.4814814814814814
763,> mil,44,156,653,2,0,1,0,0,1,1,0,> 2 years,3.5454545454545454,0,12,159,13,0.0,0,51.78,0.085,0.37,0.095,0.815,79.045,29.22815,78,1,3,164,1.2195121951219512
764,> mil,249,185,9304,4,1,1,0,0,1,1,0,2 years,0.7429718875502008,0,13,3,12,0.0,0,468.705,0.46,0.02,0.05,0.955,49.89,24.062399999999997,45,17,17,29,6.896551724137931
765,> mil,787,1007,5967,7,1,1,0,0,1,1,0,> 2 years,1.2795425667090217,0,9,160,20,0.0,0,397.49,0.26,0.33,0.065,0.87,63.155,35.093599999999995,51,2,12,122,1.639344262295082
766,> mil,1361,1492,9321,80,0,1,0,0,1,1,0,> 2 years,1.0962527553269654,0,9,128,9,0.0,0,155.19,0.155,0.145,0.29,1.085,101.01,30.5088,83,6,9,67,2.985074626865672
767,> mil,6093,92,6,195,1,1,0,0,1,1,0,> 2 years,0.015099294272115543,0,12,113,12,0.0,0,36.42,2.805,0.145,0.06,0.74,102.485,27.506800000000002,78,13,13,90,2.2222222222222223
768,> mil,211,183,10498,1,1,0,0,0,1,1,0,> 2 years,0.8672985781990521,0,10,20,2,0.0,0,458.9,0.335,0.055,0.045,0.915,68.055,29.0838,52,3,10,81,2.4691358024691357
769,> mil,1495,1019,15647,5,1,1,0,0,1,1,0,> 2 years,0.6816053511705685,2,7,12,9,0.2857142857142857,0,181.29,0.675,0.05,0.045,0.375,48.33,21.9058,15,1,6,131,1.5267175572519085
770,> mil,176,217,619,4,1,1,0,0,1,1,0,> 2 years,1.2329545454545454,0,15,54,9,0.0,0,1463.185,0.135,0.025,0.005,0.24,37.805,19.6199,17,3,8,130,1.5384615384615385
771,> mil,293,289,8574,6,1,1,0,0,1,1,0,> 2 years,0.9863481228668942,0,7,18,11,0.0,0,67.865,0.21,0.01,0.055,0.84,56.705,27.127799999999997,136,2,9,78,2.5641025641025643
772,> mil,766,1099,357,23,0,1,0,0,1,1,0,> 2 years,1.4347258485639687,0,5,59,13,0.0,0,651.75,0.075,0.07,0.06,0.91,66.205,32.2332,71,7,9,116,1.7241379310344827
773,> mil,269,98,1819,6,1,1,0,0,1,1,0,> 2 years,0.3643122676579926,0,7,28,13,0.0,0,314.38,0.325,0.175,0.08,0.585,83.88,34.69,50,1,4,151,1.3245033112582782
774,> mil,177,641,232,7,0,1,1,0,0,1,0,> 2 years,3.621468926553672,0,12,77,13,0.0,0,341.43,0.02,0.34,0.215,0.665,96.4,32.792,40,1,3,176,1.1363636363636365
775,> mil,310,409,1403,7,0,1,0,0,1,1,0,> 2 years,1.3193548387096774,0,12,107,20,0.0,0,102.885,0.045,0.285,0.315,0.83,90.06,32.6252,5,5,6,121,1.6528925619834711
776,> mil,755,318,2785,12,0,0,0,0,1,1,0,> 2 years,0.42119205298013246,0,12,7,5,0.0,0,5.39,0.285,0.025,0.05,0.74,64.02,30.732799999999997,50,6,20,18,11.11111111111111
777,> mil,120,114,898,0,1,0,0,0,1,1,0,2 years,0.95,0,9,23,3,0.0,0,347.875,0.075,0.0,0.005,0.46,85.5,27.71,20,2,6,105,1.9047619047619047
778,> mil,2122,1585,13784,1,0,1,0,0,1,1,0,2 years,0.7469368520263902,0,7,82,20,0.0,0,1265.185,0.075,0.075,0.03,1.035,46.875,19.715,27,2,16,20,10.0
779,> mil,633,584,1624,0,1,1,0,0,1,1,0,2 years,0.9225908372827805,0,7,19,5,0.0,0,559.52,0.295,0.025,0.095,0.62,45.445,22.2351,53,1,14,105,1.9047619047619047
780,> mil,646,604,16146,4,0,0,0,0,1,1,0,2 years,0.934984520123839,0,12,42,15,0.0,0,264.325,0.235,0.06,0.065,0.665,61.27,26.605099999999997,12,4,15,46,4.3478260869565215
781,> mil,205,191,2616,0,1,1,1,0,1,1,0,2 years,0.9317073170731708,1,8,47,9,0.125,0,192.555,0.115,0.05,0.035,0.195,44.595,23.177799999999998,7,4,5,117,1.7094017094017093
782,> mil,797,774,4966,13,0,0,0,0,1,1,0,> 2 years,0.9711417816813049,0,7,21,8,0.0,0,431.535,0.625,0.065,0.09,0.71,50.315,21.8717,58,1,5,119,1.680672268907563
783,> mil,311,381,196,1,0,0,0,0,1,1,0,> 2 years,1.22508038585209,0,14,37,7,0.0,0,469.595,0.08,0.035,0.03,0.46,58.02,34.9846,29,1,8,91,2.197802197802198
784,> mil,375,298,4560,0,0,0,1,0,1,1,0,2 years,0.7946666666666666,0,9,34,17,0.0,0,144.685,0.645,0.03,0.03,0.83,44.54,20.478,77,2,6,115,1.7391304347826086
785,> mil,126,135,3987,1,1,1,0,0,1,1,0,2 years,1.0714285714285714,0,9,6,16,0.0,0,9.465,0.215,0.115,0.085,0.48,56.175,27.994750000000003,54,1,5,143,1.3986013986013985
786,> mil,1047,365,9805,1,0,1,0,0,1,1,0,> 2 years,0.34861509073543456,0,8,37,20,0.0,0,573.44,0.35,0.04,0.05,0.985,53.61,22.809800000000006,100,2,12,66,3.0303030303030303
787,> mil,249,219,7458,0,0,0,1,0,1,1,0,2 years,0.8795180722891566,0,6,11,3,0.0,0,335.43,0.32,0.055,0.06,0.69,54.61,28.9159,52,4,9,71,2.816901408450704
788,> mil,228,113,19,19,0,1,0,0,1,1,0,> 2 years,0.4956140350877193,0,10,49,12,0.0,0,219.515,0.11,0.215,0.375,0.875,93.29,33.4884,90,1,4,151,1.3245033112582782
789,> mil,179,132,1224,0,0,1,1,0,1,1,0,2 years,0.7374301675977654,0,13,0,13,0.0,0,1438.535,0.585,0.01,0.06,0.68,51.925,24.17825,34,1,6,130,1.5384615384615385
